iter	RMSE
150	2.565770017
151	2.560063825
152	2.554021689
153	2.547123787
154	2.540036507
155	2.533381299
156	2.527137883
157	2.51936047
158	2.514278332
159	2.507894012
160	2.501416096
161	2.494055314
162	2.488047264
163	2.483741027
164	2.47942292
165	2.473452592
166	2.46793305
167	2.465417137
168	2.459749482
169	2.451865259
170	2.445805053
171	2.440331573
172	2.432607107
173	2.425931769
174	2.419842924
175	2.413775792
176	2.410973539
177	2.406964383
178	2.401558413
179	2.394193871
180	2.388588978
181	2.382458966
182	2.376953626
183	2.37124991
184	2.365541169
185	2.361368418
186	2.35732742
187	2.352389054
188	2.346974392
189	2.342697035
190	2.335053315
191	2.332048417
192	2.325947344
193	2.318991056
194	2.31250002
195	2.308759354
196	2.302120272
197	2.296412032
198	2.29109841
199	2.289218353
200	2.283775905
201	2.277265576
202	2.271865923
203	2.267786285
204	2.263135637
205	2.258854437
206	2.256676593
207	2.25305088
208	2.248486793
209	2.245551042
210	2.240648249
211	2.237052834
212	2.230329288
213	2.228186435
214	2.226512868
215	2.221442856
216	2.217236945
217	2.21122381
218	2.205793447
219	2.20269462
220	2.196495441
221	2.190191286
222	2.186042897
223	2.183629435
224	2.180910541
225	2.178142932
226	2.174150954
227	2.170546326
228	2.167714117
229	2.165745894
230	2.161740554
231	2.15691942
232	2.152987299
233	2.147632527
234	2.142583303
235	2.13948663
236	2.135478123
237	2.133806455
238	2.128969451
239	2.12376681
240	2.121184499
241	2.120171577
242	2.116593324
243	2.112013342
244	2.108606749
245	2.105444103
246	2.10325053
247	2.097125605
248	2.09485856
249	2.090497043
250	2.08705822
251	2.084418611
252	2.08142587
253	2.077021804
254	2.072610622
255	2.069248243
256	2.063014547
257	2.060695936
258	2.056896712
259	2.054084705
260	2.051290916
261	2.048056755
262	2.043447472
263	2.037853258
264	2.033172221
265	2.029631578
266	2.027732588
267	2.02544842
268	2.02181338
269	2.019075964
270	2.015610194
271	2.010341365
272	2.008294844
273	2.005218243
274	2.002209529
275	1.999752579
276	1.996069405
277	1.992137116
278	1.988242196
279	1.983791773
280	1.982171364
281	1.981645091
282	1.980171984
283	1.975703414
284	1.973519214
285	1.972721781
286	1.968582213
287	1.965927212
288	1.963420459
289	1.957821411
290	1.953834594
291	1.950047738
292	1.947231751
293	1.944971148
294	1.940362262
295	1.937820615
296	1.934130201
297	1.932366664
298	1.928944206
299	1.924516275
300	1.924024
301	1.920563334
302	1.916981468
303	1.916202657
304	1.911703545
305	1.910483648
306	1.910035959
307	1.906641075
308	1.901670194
309	1.898172554
310	1.895598483
311	1.889955781
312	1.88685719
313	1.882411605
314	1.879836157
315	1.877181688
316	1.874907107
317	1.869007405
318	1.866532438
319	1.863787819
320	1.859473406
321	1.859044579
322	1.853333156
323	1.849877817
324	1.847674692
325	1.845180515
326	1.842030343
327	1.837254229
328	1.834034402
329	1.83146468
330	1.829251359
331	1.8258328
332	1.82165076
333	1.818850133
334	1.816583056
335	1.814542126
336	1.810767986
337	1.806777841
338	1.803138269
339	1.799795059
340	1.795125026
341	1.79269754
342	1.790171728
343	1.786720506
344	1.783051024
345	1.779865191
346	1.777488101
347	1.772721206
348	1.77083381
349	1.767063248
350	1.765247171
351	1.760307483
352	1.755468636
353	1.753683778
354	1.749804851
355	1.747121016
356	1.745475172
357	1.742968948
358	1.739278127
359	1.736135328
360	1.734400398
361	1.731825394
362	1.727526365
363	1.725917564
364	1.722534065
365	1.720525663
366	1.718779983
367	1.71468415
368	1.71325861
369	1.709849954
370	1.706959059
371	1.702748599
372	1.700754923
373	1.697268186
374	1.694006316
375	1.691085872
376	1.689665245
377	1.686335477
378	1.684886205
379	1.681963535
380	1.678976136
381	1.677095527
382	1.674028252
383	1.670610393
384	1.668971917
385	1.665591343
386	1.662715534
387	1.659867646
388	1.657360838
389	1.654712759
390	1.653376485
391	1.650299614
392	1.647436972
393	1.642547321
394	1.640123749
395	1.635922098
396	1.631778049
397	1.629062865
398	1.627471256
399	1.623748428
400	1.621448234
401	1.618076279
402	1.614212093
403	1.611526107
404	1.608471558
405	1.605814736
406	1.603141727
407	1.599705332
408	1.596305103
409	1.593436924
410	1.592063191
411	1.588304003
412	1.584918109
413	1.581393918
414	1.577861654
415	1.574649747
416	1.570641848
417	1.566151707
418	1.562290426
419	1.559236295
420	1.555803467
421	1.553336228
422	1.552032951
423	1.547300865
424	1.544769761
425	1.541136135
426	1.53858223
427	1.535597707
428	1.531633024
429	1.530150313
430	1.527871797
431	1.525952491
432	1.523071997
433	1.519969471
434	1.51634163
435	1.513238155
436	1.51092129
437	1.508131232
438	1.504794042
439	1.503409509
440	1.501631695
441	1.499697976
442	1.496522579
443	1.494047146
444	1.491835446
445	1.490650094
446	1.488733412
447	1.485210531
448	1.481673873
449	1.480398255
450	1.477420915
451	1.475224588
452	1.471831631
453	1.46942801
454	1.466756079
455	1.46592537
456	1.463003593
457	1.459817567
458	1.456952665
459	1.454675247
460	1.452119098
461	1.449976726
462	1.447484559
463	1.445048748
464	1.443480379
465	1.441275741
466	1.438650425
467	1.436076232
468	1.433832987
469	1.43126522
470	1.428928723
471	1.425552914
472	1.422532194
473	1.419971444
474	1.41676433
475	1.415216307
476	1.414941699
477	1.413993791
478	1.411622204
479	1.409514888
480	1.406218854
481	1.405383204
482	1.403144985
483	1.401211245
484	1.399009019
485	1.39695998
486	1.394013823
487	1.39120378
488	1.388762291
489	1.387290971
490	1.38504161
491	1.382992637
492	1.38188375
493	1.379705413
494	1.377724004
495	1.375955335
496	1.373849752
497	1.371181588
498	1.369031736
499	1.366817424
500	1.365783379
501	1.363838685
502	1.361758554
503	1.35993994
504	1.357252927
505	1.354420873
506	1.353063326
507	1.350852909
508	1.348051538
509	1.34618547
510	1.343085566
511	1.34146784
512	1.339099017
513	1.337533038
514	1.334473266
515	1.331744883
516	1.330313867
517	1.327472332
518	1.325370295
519	1.323690517
520	1.321268691
521	1.318533307
522	1.316732811
523	1.314660722
524	1.311689434
525	1.309678461
526	1.308206949
527	1.304974082
528	1.301835879
529	1.300610629
530	1.298853912
531	1.297499561
532	1.295130045
533	1.294193886
534	1.292113355
535	1.288911795
536	1.287131168
537	1.285155327
538	1.284117766
539	1.283418127
540	1.281357842
541	1.27941636
542	1.277423949
543	1.275848319
544	1.27406282
545	1.272284299
546	1.271599514
547	1.269053901
548	1.267170063
549	1.265499851
550	1.263794255
551	1.26247665
552	1.26067091
553	1.257766662
554	1.25674913
555	1.25549253
556	1.253266116
557	1.250825604
558	1.248511836
559	1.246819231
560	1.24562141
561	1.243844049
562	1.241681338
563	1.238557588
564	1.237526203
565	1.235243393
566	1.233680454
567	1.23141997
568	1.22939872
569	1.226429266
570	1.225285685
571	1.222793276
572	1.221030636
573	1.219927451
574	1.219600244
575	1.217887332
576	1.217027872
577	1.21579505
578	1.215546669
579	1.214627538
580	1.212179047
581	1.209739729
582	1.209513536
583	1.20758766
584	1.204964027
585	1.203082456
586	1.200105585
587	1.199036089
588	1.198016495
589	1.196626355
590	1.193786283
591	1.191372993
592	1.188878059
593	1.18761217
594	1.18592079
595	1.183533465
596	1.181493407
597	1.181119634
598	1.180576695
599	1.179792394
